Track ID,Track Name,Album Name,Artist Name(s),Duration (ms),Popularity,Genres,Danceability,Energy,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
3cHyrEgdyYRjgJKSOiOtcS,Timber,Global Warming: Meltdown (Deluxe Version),"Pitbull,Kesha",204160,80,,0.581,0.963,11,-4.087,0.0981,0.0295,0,0.139,0.788,129.992,4
11ozIUBoXAgRTVWelDn4pL,Lights,An Introduction To Ellie Goulding EP,Ellie Goulding,244266,63,,0.703,0.731,8,-6.283,0.0311,0.0721,0.00191,0.138,0.719,120.028,4
1ib6RVMWSb3X4eFBFQryYW,Put Me In A Movie,Put Me In A Movie,SLX1PUD,193724,0,,0.641,0.504,8,-8.156,0.0285,0.533,0.000215,0.138,0.459,83.01,4
5aIVCx5tnk0ntmdiinnYvw,Water,Water,Tyla,200255,80,afrobeats,0.673,0.722,3,-3.495,0.0755,0.0856,0,0.137,0.519,117.187,4
4ycLiPVzE5KamivXrAzGFG,Fuck You,The Lady Killer,CeeLo Green,222933,61,,0.69,0.834,0,-5.79,0.0566,0.129,0,0.136,0.738,127.43,4
4hNPMfFHauPIbOKvdYqFt7,O Green World,Demon Days,Gorillaz,275000,59,,0.672,0.768,0,-7.718,0.0347,0.00201,0.905,0.136,0.858,122.583,4
63vL5oxWrlvaJ0ayNaQnbX,Istanbul (Not Constantinople),Flood,They Might Be Giants,153813,59,,0.688,0.748,5,-9.39,0.0377,0.0801,0.00453,0.136,0.892,114.144,4
5jzKL4BDMClWqRguW5qZvh,Teenage Dream,Teenage Dream,Katy Perry,227741,70,pop,0.719,0.798,10,-4.582,0.0361,0.0162,0.00000234,0.134,0.591,120.012,4
1jfuVPq6VwKsebnMIlprsd,Tight Pants / Body Rolls,Back 2 Back Palz,Leslie Hall,180373,24,,0.856,0.579,0,-6.764,0.276,0.126,0,0.134,0.648,141.923,4
2BY7ALEWdloFHgQZG6VMLA,Brandy (You're a Fine Girl),Looking Glass,Looking Glass,186826,72,,0.716,0.625,1,-11.369,0.0601,0.396,0.0000197,0.134,0.826,125.276,4
6sUQqRmOcRyAG5M3EWXzr3,Don't Lose Ur Head,Six: The Musical (Studio Cast Recording),"SIX,Christina Modestou",245303,60,musicals,0.859,0.605,7,-7.635,0.357,0.251,0,0.132,0.722,82.91,4
0xmjwnQ3FNE6HuWCt2nHdZ,Where Is The Love?,Elephunk,Black Eyed Peas,272533,75,,0.834,0.699,5,-3.222,0.178,0.111,0,0.131,0.809,94.086,4
2SpEHTbUuebeLkgs9QB7Ue,Jolene,Jolene,Dolly Parton,161533,66,country,0.674,0.537,1,-10.971,0.0363,0.566,0,0.131,0.809,110.578,4
2Cmth2GiA4UsABtEvYsCM1,The New Periodic Table Song,The New Periodic Table Song,AsapSCIENCE,169255,47,,0.559,0.423,7,-7.183,0.0727,0.817,0,0.13,0.916,82.549,4
468BsK9sjyvH3vQFfRbBwD,No Mercy (feat. BlackGryph0n & LittleJayneyCakes),No Mercy,"The Living Tombstone,Black Gryph0n,LittleJayneyCakes",154465,53,,0.635,0.621,2,-5.936,0.0288,0.0466,0,0.128,0.844,105.047,4
1D066zixBwqFYqBhKgdPzp,Fergalicious,The Dutchess,"Fergie,will.i.am",292373,63,,0.906,0.583,8,-7.721,0.317,0.0569,0,0.126,0.829,129.056,4
2ISUiwj8xXqHeUFcen0AIU,Grow A Pear,Cannibal (Expanded Edition),Kesha,208866,56,,0.863,0.667,0,-3.891,0.0508,0.0154,0.000341,0.125,0.892,120.011,4
06PCCNRFyQDLo2TnNZsVDA,Minecraft Won't Add Inches to Your Cock,Black Man of Steal,Rucka Rucka Ali,188104,41,"comedy,meme rap",0.561,0.813,2,-5.019,0.0928,0.0475,0,0.125,0.516,151.964,4
0ybMBs8mKdAP9WSnFTiZvs,ASGORE,UNDERTALE Soundtrack,Toby Fox,156000,57,soundtrack,0.512,0.902,2,-11.668,0.0385,0.00431,0.751,0.125,0.688,114.849,4
52BJrldggFQyTiW8XrILhO,In The Party,"Ho, why is you here ?",Flo Milli,137361,57,,0.919,0.609,9,-5.059,0.262,0.0096,0,0.124,0.418,134.992,4
6nqHzwOdGIaX57U6VU6kMO,"Symphony No. 9 in E Minor, Op. 95, B. 178 From the New World: IV. Allegro con fuoco","Dvorák: Symphony No. 9 in E Minor, Op. 95, B. 178 From the New World / Smetana: The Moldau","Antonín Dvořák,Wiener Philharmoniker,Herbert von Karajan",685000,51,"classical,chamber music,orchestra,opera,requiem",0.236,0.163,4,-15.639,0.0348,0.901,0.737,0.124,0.114,141.518,4
5E30LdtzQTGqRvNd7l6kG5,Daddy Issues,Wiped Out!,The Neighbourhood,260173,80,,0.588,0.521,10,-9.461,0.0329,0.0678,0.149,0.123,0.337,85.012,4
4dvjEKAqEvJa80MPFMLMf2,We Found Love,We Found Love (In A Hopeless Place),In A Hopeless Place,215742,47,,0.765,0.799,6,-5.121,0.0506,0.12,0.0000182,0.122,0.482,127.97,4
2dBwB667LHQkLhdYlwLUZK,Summertime Sadness,Born To Die - The Paradise Edition,Lana Del Rey,265427,61,,0.565,0.654,1,-6.826,0.0335,0.0542,0.0000018,0.122,0.235,111.968,4
2jnOUdpaFKr9koG1Vtbj6v,Everything Stays (feat. Olivia Olson),"Adventure Time, Vol. 3 (Original Soundtrack)","Adventure Time,Olivia Olson",95058,60,,0.475,0.102,7,-17.592,0.0432,0.94,0.00000178,0.122,0.347,85.168,4
4wH4dJgrsxONID6KS2tDQM,Maneater,Loose,Nelly Furtado,258893,78,,0.796,0.778,6,-4.81,0.0397,0.0258,0.000386,0.121,0.789,132.724,4
0r2Bul2NuCViraT2zX1l5j,Get Low,Kings Of Crunk,"Lil Jon & The East Side Boyz,Ying Yang Twins",334066,69,"crunk,southern hip hop",0.521,0.625,1,-7.47,0.067,0.0301,0,0.121,0.136,101.019,4
0vf2eBw2inhl8y61cYQMv2,Devil Town,Cavetown,Cavetown,179955,67,bedroom pop,0.576,0.759,3,-8.165,0.0599,0.12,0,0.121,0.501,99.969,4
3DarAbFujv6eYNliUTyqtz,Kiss Me More (feat. SZA),Planet Her,"Doja Cat,SZA",208666,79,r&b,0.764,0.705,8,-3.463,0.0284,0.259,0.0000892,0.12,0.781,110.97,4
5Vnx5i9VJSZ6ayfK6jncf8,一翦梅,天之大,Fei Yu-ching,234866,51,"mandopop,c-pop,taiwanese pop",0.29,0.482,6,-8.207,0.035,0.145,0.000171,0.12,0.247,141.459,4
3GiJq4AQK7324mfIQbpiTf,Custer,.5: The Gray Chapter (Special Edition),Slipknot,254466,69,"nu metal,metal,alternative metal,rap metal,heavy metal",0.407,0.98,7,-1.58,0.107,0.00174,0.000112,0.119,0.537,131.066,4
3EaJDYHA0KnX88JvDhL9oa,Dark Red,Dark Red,Steve Lacy,173104,80,,0.603,0.784,6,-4.023,0.062,0.446,0.00000832,0.119,0.769,172.041,4
7corSqnjU5bX09ZXy3nhVD,君はできない子,きくおミク3,Kikuo,261600,58,vocaloid,0.681,0.839,9,-5.398,0.0286,0.0593,0.000014,0.119,0.758,128.018,4
4Rsv5fRmgTH88RLp7xN5sz,Break,1234,alex_g_offline,177028,69,,0.473,0.452,9,-14.238,0.0267,0.0316,0.859,0.119,0.48,79.318,4
7EDcAz6iuKSkxH4VcC3Oko,I Wait for You,1234,alex_g_offline,158104,71,,0.594,0.304,7,-14.389,0.036,0.956,0.00579,0.119,0.308,122.636,4
